customer_id,customer_name,email,country,status,updated_at
1,Alice Johnson,alice@example.com,US,active,2026-01-10
2,Bob Smith,bob@example.com,US,active,2026-01-12
3,Carol Lee,carol@example.com,UK,inactive,2026-01-15
4,David Kumar,david@example.com,IN,active,2026-02-01
5,Emma Wilson,emma@example.com,CA,active,2026-02-05
6,Frank Brown,frank@example.com,US,suspended,2026-02-10
7,Grace Miller,grace@example.com,AU,active,2026-02-15
8,Henry Davis,henry@example.com,IN,active,2026-03-01
9,Isha Patel,isha@example.com,IN,inactive,2026-03-05
10,Jack Taylor,jack@example.com,US,active,2026-03-10
11,Kiran Rao,,IN,active,2026-03-15
11,Kiran Rao,kiran@example.com,IN,active,2026-03-15
12,Liam Wilson,liam@example.com,CA,active,2026-03-20
